	artist	category	genre	title	tracks	year	id	merged_values
1944	James Patterson & Andrew Gross	Misc	Book (unabridged)	The Jester 5of11	2944		102001	
1945	Mellow Trax	Misc	Techno	Techno Vibes	2945	2000	102002	
1946	Piano Solos By Alex Belden	Misc		Phases	2946	1996	102003	
1947	Various	Misc	Techno	Best Of Ohm! - Disc2	2947		102004	
1948	Various	Misc		Hip House 2	2948		102005	
1949	Various Artists	Misc	Soundtrack	Prince Prime Collection	2949	2000	102006	
1950	Latitude Nord	Misc	Hiphop	Dis-leur	2950	2001	102007	
1951	Floorplay	Misc		Housensual	2951	2000	102008	
1952	Vã¡rios	Misc	Techno	Rivage Volume 4	2952	2002	102009	
1953	Various Artists	Misc	Easy Listening	F.E.E.L. - Far East Easy Listening	2953	2001	102010	
1954	Compilation	Misc		Les Musiciens De La Terre Et De Saturne	2954		102011	
1955	Cd Pool	Misc	Pop	Cd Pool Pop Beats V.10 S.06 (cd 1)	2955	2003	102012	
1956	Various Artists	Misc	Techno	Dub House Disco 2000	2956	1994	102013	
1957	Martti \huuhaa\ Innanen	Misc	Speech	Horolan Elinan Ihmeelliset Seikkailut!	2957	2004	102014	
1958	Nana Vasconcelos	Misc		Africadeus-n.Angelo-novelli	2958		102015	
1959	Various Artists	Misc	Techno	Genetic Error 3 - The Acid Chapter	2959	1994	102016	
1960	Press To Transmit	Misc	Electronic	Outer Dislocations	2960	2002	102017	
1961	Various Artists	Misc	Disco	Your Disco Needs You	2961	2001	102018	
1962	Urban Records	Misc		Drum + Bass Vol 1	2962		102019	
1963	Styâ³a, Adams, Dickens	Misc	Fusion	Spectrum Session	2963		102020	
1964	Various	Misc	House	Soliver House Januar 2004	2964		102021	
1965	Va	Misc	Hip-hop	The Ultimate Lessons 3	2965	2003	102022	
1966	Various Artists	Misc	Trance	D-trance 1 2002	2966	2001	102023	
1967	Various	Misc		Hot Tracks 16-3	2967		102024	
1968	Orbital	Misc		Orbital (green Album)	2968	1991	102025	
1969	Va	Misc	Dance	Club Anthems Cd2	2969	2001	102026	
1970	Jules Verne	Misc		20,000 Leagues Under The Sea (disk 1)	2970		102027	
1971	Various	Misc		Future Funk 2 - 2/2	2971		102028	
1972	Various	Misc		Dream Injection 6 (disk 2)	2972		102029	
1973	Various	Misc		P@jda Vol.15	2973		102030	
1974	Various Artists	Misc		Viva Hits 19 - Cd1	2974		102031	
1975	Pierre-alain De Garriguesgrands Auteurs	Misc	Other	Papa Te Raconte Vol.16 - Poã¨mes De Grands Auteurs	2975	2000	102032	
1976	Sound Effects	Misc		Sci-fi	2976		102033	
1977	Ramon Muntaner	Misc	Folk	Balades I Canã§ons	2977	1979	102034	
1978	Headcramp	Misc		Mind-blowing Beef-fest Spectacular	2978	1994	102035	
1979	Kol Rina - Ashira	Misc		Kol Rina - Ashira	2979		102036	
1980	Connie Francis	Misc	Oldies	Connie Francis	2980	1960	102037	
1981	Bronco	Misc		Cumbias Sin Rodeos	2981		102038	
1982	Various Artistsder	Misc	Chorus	Kinderchã¶re Singen Die Schã¶nsten Weihnachtlieder	2982		102039	
1983	The Platters	Misc	Gospel	Songs Of Love And Inspiraton	2983		102040	
1984	Petula Clark	Misc	Misc	Downtown	2984		102041	
1985	Nobody's Business	Misc	Rock & Roll	Waykool Rock And Roll	2985	1996	102042	
1986	Los Rayos De San Diego	Misc	Latin	Mi Primer Amor	2986	2003	102043	
1987	Karumanta, Los Indios De Cusco, Viracocha	Misc	Other	Magie Des Andes	2987	2002	102044	
1988	The Winchester Ensemble	Misc	Christmas	Away In A Manger	2988	1995	102045	
1989	Village Voices	Misc		...Until The Cows Come Home	2989		102046	
1990	101 Strings	Misc	Musical	Famous Themes From Broadway Shows	2990	1996	102047	
1991	Roadkill Ballet	Misc		Roadkill Ballet	2991		102049	
1992	Joe Jackson	Misc	Pop	Look Sharp!	2992	1979	102050	
1993	Paul Und Diana	Misc		Paul Und Diana	2993		102051	
1994	Srk	Misc	Chorus	Kevã¤t Herã¤si Tã¤ã¤llã¤	2994		102052	
1995	Varonil	Misc	Latin	Sonidero	2995	2001	102053	
1996	Chris Andrews	Misc		Yesterday Man	2996		102054	
1997	Sampler	Misc	Rac	Sampler - Wahrheit Macht Frei	2997	2001	102055	
1998	Sex Pistols	Misc	Old School Punk	Never Mind The Bollocks Here's The Sex Pistols	2998	1977	102056	
1999	Natural Toy	Misc		Are We Here Yet	2999	2003	102057	
2000	Kirk Talley	Misc		I Speak To You	3000		102058	
2001	Unsane	Misc		Occupational Hazard	3001		102059	
2002	Scott Joplin	Misc		The Age Of Ragtime	3002		102060	
2003	Cumbia 2	Misc		Cumbia 2	3003		102061	
2004	Ã¥â·?ã¦â¾â€žã§â¶â¾ã¥â­?	Misc	Misc	Ã£?â¾ã£?â»ã£â€š?ã£?â¾ã£?â¦ã£?æ’ã£?â£ã£?? For Ã¥â·?ã¦â¾â€žã§â¶â¾ã¥â­?	3004	2003	102062	
2005	Tito Rodriguez And His Orchestra	Misc	Latin	Tito Tito Tito	3005	1998	102063	
2006	Django Reinhardt	Misc		Swing De Paris	3006		102064	
2007	Busserulls	Misc	Pop	Fest & Baluba	3007	1990	102065	
2008	The Police	Misc		Ghost In The Machine	3008		102066	
2009	Ãƒâ¹â®ã‰ã‚ã—	Misc	Vocal	20â¥@â¬ã¶â¥xâ»yâ¸gâ¨ã¥â¹ãªâ¿ã½5-1	3009		102067	
2010	Finding Nemo	Misc		Ocean Favorites	3010	2003	102068	
2011	Proyecto Alabanza Y Adoraciã³n	Misc	Contemporary Christianchristian Rock	Marcos Witt	3011	1993	102069	
2012	Aqua	Misc	Pop	Aquarium	3012	1997	102070	
2013	Various Artists Los 70s	Misc	Cb_baladas	Emilio Josã© Lorenzo Santamarã­a Y Otros Inimitables De Los 70s	3013		102071	
2014	Desolation Angels	Misc	Folk-rock	Anthem	3014	1989	102072	
2015	101 Stringsrings	Misc		The Sound Of Magnificence - The Best Of The Best Of 101 Strings	3015		102073	
2016	Unit Five	Misc		Langt Til Hollywood Med Hurtigruta..	3016	2004	102074	
2017	Los Petersellers Thedio	Misc		Los Petersellers Contra La Amenaza Del Dr. Thedio	3017		102075	
2018	Glasshouse	Misc	Rock	Reflections	3018	2002	102076	
2019	Mannheim Steamroller	Misc	New Age	A Fresh Aire Christmas	3019	1988	102077	
2020	Royal Philharmonic	Misc		Joyous Christmas	3020		102078	
2021	Mahoã¥â â€šã£æ’â»ã¤â»â€“	Misc	Anime	Ã£?å ã£â€šâ¸ã£æ’â£ã©â­â€ã¥â¥â³ban2 Cdã£??ã£â€šâ€°ã£?â¶ Ã£??ã£?â®3 Ã£?å ã£â€šâ¸ã£æ’â£ã©â­â€ã¥â¥â³ã£æ’å¸ã£æ’â¥ã£æ’â¼ã£â€šâ¸ã£â€šâ«ã£æ’â«ã£æ’â»ã£æ’â´ã£â€šâ©ã£æ’â¼ã£â€šâ«ã£æ’â«ã£â€šâ³ã£æ’â¬ã£â€šâ¯ã£â€šâ·ã£æ’â§ã£æ’â³!!	3021		102079	
2022	Beth Carvalho	Misc		Cd Duplo (1 De 2)	3022		102080	
2023	Shlock Rock	Misc		Learning Is Good!	3023		102081	
2024	Rally	Misc		Rally 5	3024		102082	
2025	Various Artistsng!	Misc	Vocal	The Diva Collection - The Hollywood Ladies Sing!	3025	1989	102083	
2026	Ricoune & Les Counass	Misc	Humour	Ricoune & Les Counass	3026		102084	
2027	Chris Lizotte	Misc		Human Kind	3027		102085	
2028	Various Artists	Misc	Soundtrack	Jungle Boogie	3028	1997	102086	
2029	Ddisselblom	Misc	Afrikaans	Bang	3029	2001	102087	
2030	Commissioner Gordon	Misc	Ska	Get In The Car	3030	2001	102088	
2031	101 Strings	Misc		Unforgettable Melodies - Disc 1	3031		102089	
2032	Jody Stecher And Kate Brislin	Misc	Bluegrass	Songs Of The Carter Family	3032		102090	
2033	Romã©o Vaduva	Misc	Mic	Les Plus Belles Chansons D'amour Ã  La Flã»te De Pan	3033		102091	
2034	Sydanmaa	Misc		Muisto	3034		102092	
2035	Xerophonics	Misc	Electronica	Copying Machine Music	3035	2003	102093	
2036	Kelly Patrã­cia	Misc		Et Verbum	3036		102094	
2037	Piet Klocke	Misc		Hiphop Fã¼r Angestellte	3037		102095	
2038	Atlanta Sacred Chorale	Misc		Psalms Hymns And Spiritual Songs	3038	2003	102096	
2039	Tony Bennett	Misc		Golden Era Collection ) Tony Bennett	3039		102097	
2040	Identical Strangers	Misc		Identical Strangers	3040		102098	
2041	Madogg	Misc		Beware Of Dog	3041		102099	
2042	Paolo Meneguzzi	Misc		Lei Ã¨....	3042		102100	
2043	Various	Misc		Ich Bin Der Martin Ne Und Andere Stimmungsbomben	3043		102101	
2044	The Neville Brothers	Misc		Live At Tipitina's (1982) Disc 2	3044		102102	
2045	Another Bad Creation	Misc	Hiphop	Coolin' At The Playground Ya' Know	3045	1991	102103	
2046	Land & Synir	Misc	Rock	Alveg Eins Og Pu	3046	1998	102104	
2047	Howard Carpendale	Misc		Alles Ok	3047		102105	
2048	The Musicals Collection	Misc		# 32: Sweet Charity	3048		102106	
2049	Artistes Variã©s	Misc	Chanson	La Mã©moire Des Boã®tes Ã  Chansons (disque 2)	3049	1996	102107	
2050	The Spheric Sounds	Misc		Synthesizer Greatest	3050		102108	
2051	Gal Costa	Misc	Mpb	O Sorriso Do Gato De Alice	3051		102109	
2052	Azãºcar Moreno	Misc	Pop	Desde El Principio	3052	2003	102110	
2053	Simone	Misc		Simone Em Duetos	3053		102111	
2054	Diverse	Misc		Schlager Ã  La Carte	3054	2002	102112	
2055	Clem	Misc	Jazz	Samossa	3055		102113	
2056	George Mccrae	Misc		Rock Your Baby	3056		102114	
2057	Barbara Morgenstern	Misc	Electronic	Nichts Muss	3057	2003	102115	
2058	Various Artists	Misc		Goldene Schlagerparade 1-1998	3058	1998	102116	
2059	Various	Misc	Other	Dance Bahia	3059		102117	
2060	Saga Farrapa	Misc	Other	Saga Farrapa	3060	1998	102118	
2061	Cello	Misc	Korean Pop	1st	3061	2002	102119	
2062	Ã ã©ã´ã¤ Ã¤ã©ã¬ã£	Misc	Ã©ã¹ã¸ã ã¬ã©	Ã¦ã®ã¯ Ã±ã¥ã«ã¸	3062	1993	102120	
2063	Krach	Misc	Ska	Tinitus	3063		102121	
2064	Chris Carter	Misc		Electronic Ambient Remixes Three	3064		102122	
2065	Aska	Misc	Rock	Kicks	3065	1998	102123	
2066	Bass Outlaws	Misc		Feel The Bass	3066		102124	
2067	Fernando Mendes	Misc	Club	Ao Vivo	3067	1999	102125	
2068	Puro Mambo	Misc		Y Viene Mas Fuerte Que King Kong	3068		102126	
2069	Verschiedene	Misc		Internationale Oldie Hits Cd9	3069		102127	
2070	Didier Jeunesse	Misc	Chanson	Les Plus Belles Comptines Anglaises	3070	2002	102129	
2071	Louis Armstrong30, 1947	Misc	Jazz	And The All Stars At Symphony Hall Boston, November 30, 1947	3071	1991	102130	
2072	Â¼ã’ã‡ã¢	Misc	Contemporary Christian	Â¼ã’ã‡ã¢ Special	3072	2001	102131	
2073	Christian	Misc	Other	Christian - Nominator	3073		102132	
2074	Various Artists	Misc	Latin	Latin Mix Usa Vol. 2	3074	1999	102133	
2075	Illegal	Misc		The Untold Truth	3075		102134	
2076	Lou Rawls	Misc	Disco	The Best Of Me	3076		102135	
2077	Natalie Imbruglia	Misc	Pop	White Lilies Island	3077	2001	102136	
2078	Ensemble Venance Fortunat	Misc	Vocal	Quem Quaeritis	3078	1991	102137	
2079	Mazzy Star	Misc	Pop	So Tonight That I Might See	3079	1993	102138	
2080	Neerlands Hoop In Bange Dagenc 2	Misc		Weerzien In Panama - Disc 2	3080		102139	
2081	De Vliegende Panters	Misc	Misc	Hype (disc 2)	3081	2000	102140	
2082	Celso Piã±a	Misc	Misc	Mundo Colombia	3082	2002	102141	
2083	Various Artists	Misc		Tout Le Monde En Parle - Cd1	3083	2002	102142	
2084	Vintersorg	Misc	Folk/metal	Ã–demarkens Son	3084	1999	102143	
2085	Kenneth Copeland	Misc	Speech	Dare To Take Your Place Series Disc 2	3085	2002	102144	
2086	Los Del Rio	Misc	Ethnic	Calentito	3086	1995	102145	
2087	Matt Keating	Misc	Alternative	Tell It To Yourself	3087	1993	102146	
2088	Various Artists	Misc		Deep In The Jungle	3088		102147	
2089	Tom De Vida	Misc		O Sorriso Da Alma	3089		102148	
2090	Various	Misc	Soul	Cd Pool Street Beats 4-8 Cd 1	3090	2001	102149	
2091	Phil Carmen	Misc	Rock	Drive	3091	1991	102150	
2092	Pachamama	Misc		Vol2	3092		102151	
2093	N.E.R.D	Misc	Hip Hop	In Search Of...	3093	2002	102152	
2094	Jeremy Allan Kittel	Misc		Celtic Fiddle	3094		102153	
2095	Konami Kukeiha Club	Misc	Fusion	Salamander Pro Fusion	3095	1996	102154	
2096	Hint	Misc	Trip-hop	Dys-	3096		102155	
2097	Renaud Garcia-fons	Misc	Ethnic	Oriental Bass	3097	1997	102156	
2098	Kruder & Dorfmeister	Misc		K&d Sessions - Volume 2	3098		102157	
2099	100% Hardcore	Misc		Los 27 Exitos + Salvajes Cd1	3099		102158	
2100	Vã¡rios	Misc		O Melhor De Lembranã§as	3100		102159	
2101	Turin Brakes	Misc	Rock	The Optimist Lp	3101	2001	102160	
2102	This Is All We've Learned About Living	Misc	Indie	Glossary	3102	2000	102161	
2103	Natural Selections	Misc	Miscelaneous	A Compilation From Delicious Vinyl	3103		102162	
2104	Svinkels	Misc	Hip-hop	Tapis Rouge	3104	1999	102163	
2105	Coro Vallicelliano Di Romaa Secunda Pontificalis	Misc	Classical	Lorenzo Perosi: Missa Pontificalis - Missa Secunda Pontificalis	3105	1991	102164	
2106	Various	Misc		I Pop You	3106	2000	102165	
2107	Body + Soul - Heavenly Touch	Misc	Slow Jams	Body + Soul - Heavenly Touch	3107		102166	
2108	Zhane	Misc		Pronounced Jah-nay	3108	1994	102167	
2109	Steven Curtis Chapman	Misc	Contemporary Christian	Declaration	3109	2001	102168	
2110	Ã¥?â¤ã¥â€ â€¦ã¦?â±ã¥â­?	Misc	Pop	Distance	3110	1993	102169	
2111	Compilation	Misc	Club	Dance Arena	3111		102170	
2112	Varios Artistas	Misc	Misc	Salsa En La Calle 8 '95	3112		102171	
2113	Varrios	Misc		After Five Jazz - Expressions	3113		102172	
2114	Variousawn (cd One)	Misc	Soul	Mastercuts Early Hours: Laid Back Grooves For The Journey To Dawn (cd One)	3114	2002	102174	
2115	Rev. Bruce Parham	Misc		We Will Give You Praise	3115		102175	
2116	Thompson, Richardof 2)	Misc	Rock	Live - 20040218 - Indianapolis, In (disc 1 Of 2)	3116	2004	102176	
2117	Rodrigo Leã£o	Misc	Ambient	Alma Mater	3117	2000	102177	
2118	Andrea Adams-frey	Misc		Aus Der Tiefe	3118	2001	102178	
2119	Various Artistss]	Misc		Passion - The Music Of Love [cd 01 - Classic For Lovers]	3119		102179	
2120	Various	Misc	Dream	Zwischen Tag Und Traum Vol.4 Cd2	3120		102180	
2121	Zero 7	Misc		Simple Things	3121		102181	
2122	Eddie Santiago	Misc		La Vida Musical De ...	3122		102182	
2123	Youcef El Oujdi	Misc	Raã¯	Ca Va Ã§a Va	3123	1999	102183	
2124	Olika	Misc		Skrattkammaren Vol 2	3124		102184	
2125	Vangelis	Misc		Direct	3125		102185	
2126	Hitomi	Misc	Rock	Love Life	3126		102186	
2127	Donna Byrne	Misc	Vocal	Licensed To Thrill	3127	2002	102188	
2128	Yale Strom	Misc	Ethnic	Garden Of Yidn	3128	2000	102189	
2129	Georgo Dalaras	Misc	Greek Folk	Tribute To Mikis Theodorakis	3129		102190	
2130	Dj Riot	Misc		The Snowboard Experience	3130		102191	
2131	Various	Misc	Soul	Urban Soul	3131	1994	102192	
2132	Various Artists	Misc	R&b	The Best Man (ost)	3132	1999	102193	
2133	Lã©o Ferrã©	Misc	Chanson	Avec Le Temps Disc 2	3133	1990	102194	
2134	Various Artists	Misc	Ambient	Supperclub 3 - La Salle Neige	3134	2001	102195	
2135	Ã£â€šâ¦ã£æ’â«ã£æ’â€¢ã£æ’â«ã£â€šâº	Misc	Japanese Rock	Stupid & Honest	3135	1999	102196	
2136	Emile Zola	Misc	Speech	Nana - Cd 01	3136	2002	102197	
2137	Adjacency Pair	Misc	Industrial	Crispy Floating Dialogues	3137	2003	102198	
2138	Sequentia	Misc		O Jerusalem	3138		102199	
2139	Ray Walker	Misc	Acapella	Peace	3139		102200	
2140	Miguel Bosã©	Misc		Laberinto	3140		102201	
2141	:wumpscut:	Misc	Industrial	Bone Peeler Vs Hardbox Edition	3141	2004	102202	
2142	Sylvester	Misc		Do Ya Wanna Funk	3142		102203	
2143	Diverse	Misc		Real Music Vol.4	3143		102204	
2144	Various Artists	Misc	Trance	Paul Oakenfold - Ibiza Cd1	3144	2001	102205	
2145	Kari Hotakainen	Misc	Speech	Juoksuhaudantie - Cd 4	3145	2002	102206	
2146	Various Artists	Misc		Visage Ii	3146		102207	
2147	Various	Misc		Back Spins Vol. 1	3147		102208	
2148	Various	Misc	Eurodance	Super Eurobeat Vol 20	3148	1991	102209	
2149	Tiã«sto	Misc	Trance	Summerbreeze	3149	2000	102210	
2150	Various Artists	Misc	Rock & Roll	Garage Madness	3150	2002	102211	
2151	Various Artists	Misc	Techno	Don't Techno For An Answer	3151	1992	102212	
2152	The Prodigy	Misc	Speech	The Ultimate Interview	3152	1998	102213	
2153	Disc 3	Misc	Vocal	Nlt Bible On Cd - Nt	3153		102214	
2154	Various	Misc	Electronic	Legends On Acid - Pt.#2	3154	2001	102215	
2155	Various	Misc	Club	Mainstream Club 2001.09	3155	2001	102216	
2156	Influence 2.2 A Hardtrance Experience	Misc		Influence 2.2 A Hardtrance Experience	3156		102217	
2157	The Fuse	Misc	Techno	Ten Years Techno Music	3157	2004	102218	
2158	Giacomo Puccini	Misc	Opera	Turandot	3158	1958	102219	
2159	Dureco	Misc	Sound Clip	Sound Effects 8	3159	1988	102220	
2160	Various Artists	Misc	Ambient	Mega Fãªte - Cd 4	3160		102221	
2161	99 Posse	Misc	Hip-hop	Corto Circuito	3161	1998	102222	
2162	Radiotrance	Misc	Trance	Ãã®ã«â¸ã² Ãã®ã°ã¬ã ã«ã¼ã­ã»ã©	3162	1996	102223	
2163	Various	Misc		Deephouse02 Wind Side	3163		102224	
2164	Claudio Baglioni	Misc	Other	Sono Io	3164	2003	102225	
2165	Various Artists	Misc		Hot Tracks 15-6	3165		102226	
2166	Troy Denning	Misc	Speech	Star Wars - Tatooine Ghost - Disk 2 Of 5	3166		102227	
2167	Adams, Yalonda	Misc		Cuts 2	3167		102228	
2168	Various	Misc		Winter Party Vol.3	3168		102229	
2169	Various	Misc		Dance Classics - The Hits - Volume 9	3169		102230	
2170	The Sixties Box Disc 3 - Mastermixx	Misc	60's	The Sixties Box Disc 3 - Mastermix	3170		102231	
2171	Various Artists	Misc	Chanson	Les 100 Plus Belles Chanson Cd 2	3171	1920	102232	
2172	Various Artists	Misc	Psychedelic	Pressure [spuncd05]	3172	2003	102233	
2173	Various Artists	Misc		Trancemaster Vol. 11 (cd1)	3173		102234	
2174	Glenn Miller	Misc	Big Band	Moonlight Serenade: His 50 Finest (disc 1)	3174	2002	102235	
2175	Alexandre Dumas	Misc	Speech	Disc 1 - The Count Of Monte Cristo - Abridged	3175	1995	102236	
2176	Various Artist	Misc	Drum & Bass	Drum 'n' Bass - The Hard Step	3176	1997	102237	
2177	Onyx	Misc		Bacdafucup	3177		102238	
2178	Luna Martyr	Misc		The Unseen, The Eternal...	3178	2000	102239	
2179	Banda Taurina	Misc	Ethnic	Spanish Bullring Music	3179	1990	102240	
2180	Various	Misc	Punk	Across The Water	3180		102241	
2181	Godzina Zero	Misc		Prawo Ulicy	3181		102242	
2182	Josã© Augusto	Misc	Popular	'grandes Sucessos Ii'	3182		102243	
2183	Total Egon,dennis Och Dom Blã¥ Apelsinerna T\	Misc		\hugger Hã¶gt, Hugger Snabbt\	3183		102244	
2184	Alisha's Attic	Misc	Misc	The Attic Vaults 1	3184	2002	102245	
2185	Various Artists	Misc	Swing	Sweet Swing Vol 1	3185		102246	
2186	Andrew Dice Clay	Misc	Comedy	Filth - Disc 3 - Even More Filth	3186	1998	102247	
2187	Caetano Veloso	Misc	Mpb	Muitos Carnavais	3187	1977	102248	
2188	Cor Galis	Misc		De Mening Van Cor Galis	3188		102249	
2189	Ruben Ramos & The Texas Revloution	Misc	Latin	El Gato Negro	3189	1991	102250	
2190	Various	Misc	Classic Rock	Love Songs Of The 70's	3190		102251	
2191	Kristiina Mã¤ki	Misc	Dance	Pikkujutut	3191	1996	102252	
2192	Gary Mcspadden & Chosen	Misc	Gospel	Familiar Places	3192	2001	102253	
2193	Stephan Remmler Und Die Schatzsucher	Misc	National Folk	Projekt F	3193	1991	102254	
2194	Nirvana	Misc		Incesticide	3194		102255	
2195	Frente A Frente - Cd 1	Misc	Mpb	Musica Brasileira	3195	2001	102256	
2196	Varios	Misc		Afro Cubano... Con Sabor. A Taste Of Afro Cuban Music Vol. 3	3196		102257	
2197	Norrmalms Ungdomskã¶r	Misc	Christian Rock	Ett Steg Till	3197	1992	102258	
2198	Rumors	Misc	Vocal	Caught In The Act	3198	1999	102259	
2199	Banda La Costeã±a	Misc	Other	Una Aventura	3199	1995	102260	
2200	Cantor David Werdyger	Misc		A Melitzer Oneg Shabbos	3200		102261	
2201	The Tremeloes	Misc		Forever Gold	3201		102262	
2202	Paul Williams	Misc	Ballad	Just An Old Fashioned Love Song	3202	1996	102263	
2203	Various	Misc	Christian Rock	On Track 24 7	3203	1998	102264	
2204	Hilary Duff	Misc	Musical	Santa Claus Lane	3204	2003	102265	
2205	Antonio Barros E Cecã©u	Misc		Como Ã© Que A Gente Faz	3205		102266	
2206	Various Artists	Misc		Bk And Associates	3206		102267	
2207	Anita	Misc	Other	Ik Heb Een Droom	3207	2003	102268	
2208	Caetano Veloso & Gilberto Gil	Misc	Mpb	Tropicalia	3208	1993	102269	
2209	Renã© Shuman	Misc		The Main Language	3209		102270	
2210	Yã¶lintu	Misc		Sitã¤ Saa Mitã¤ Tilaa	3210		102271	
2211	Tracy Chapman	Misc		Telling Stories	3211		102272	
2212	Tim Beitzel	Misc		Listen	3212		102273	
2213	Unknown	Misc		Strong In Thy Strength	3213		102274	
2214	Tea For Three	Misc	Pop	Teatime	3214		102275	
2215	Howard Carpendale	Misc		Ti Amo	3215		102276	
2216	Toni Lamond	Misc	Alternative	Still A Gypsy	3216	1999	102277	
2217	Alex Conti	Misc		Electric Ballroom	3217		102278	
2218	Donovan	Misc	Rock	Colours - Disc 2	3218	1987	102279	
2219	Popstars Live	Misc		The Finalists & Their Songs	3219		102280	
2220	Various Artists	Misc	Rock	Hits Of The Seventies Volume 1 (disc 2)	3220	1989	102281	
2221	Ãƒã¶â²qâ©ã‰	Misc	Pop	The Story Of Shirley	3221	1993	102282	
2222	Doug Jay	Misc	Blues	Until We Meet Again	3222	1993	102283	
2223	La Oreja De Van Gogh	Misc	Pop	Dile Al Sol	3223	1998	102284	
2224	Audrey Landers	Misc		Love Me Tender	3224	1990	102285	
2225	Uncle Ho	Misc		Small Is Beautiful	3225		102286	
2226	Various Artists	Misc	Southern Gospel	Songs For The Journey Vol. 11	3226	2003	102287	
2227	R_pertoire F_minin #8 Instrumental	Misc	Playbacks	Play-backs V306	3227		102288	
2228	Terminal Power Company	Misc	Industrial	Run Silent, Run Deep	3228	1992	102289	
2229	Las Niã‘as	Misc	Rap	Oju	3229		102290	
2230	Lexicon	Misc	Underground Hip-hop	It's The L	3230	2001	102291	
2231	Los Caã±os	Misc		Niã±a Piensa En Ti	3231		102292	
2232	Victor Manuel	Misc	Latin	Grandes Exitos	3232		102293	
2233	Bã¼rger Lars Dietrich	Misc	Deutsch	Dicke Dinger	3233	1996	102294	
2234	Yelo	Misc	Ska	Yeloâ­molo	3234		102295	
2235	Frank Sinatra	Misc		My Way	3235		102296	
2236	New Memphis Hepcats	Misc	Big Band	Swingopoly	3236	2003	102297	
2237	Knut Reiersrud	Misc		Footwork	3237		102298	
2238	Zã© Ramalho	Misc		Zã© Ramalho - Parcerias	3238		102299	
2239	Linkin Park	Newage		Hybrid Theory	3239		10230	
2240	Ger	Misc	Pop	On My Own	3240	2003	102300	
2241	Marduk	Misc	Black Metal	Blackcrowned Disc 2	3241	2002	102301	
2242	Various Artistes	Misc		K-pop Super Best	3242		102302	
2243	Kc & The Sunshine Band	Misc	Disco	Collector's Edition (vol. 1)	3243	1999	102303	
2244	The Countdown Singers	Misc	Pop	#1 Hits (disc 1)	3244	2000	102304	
2245	Los Trios	Misc	Trios	Antologã­a Musical	3245		102306	
2246	Warlord Uk	Misc	Thrash Metal	Maximum Carnage	3246	1996	102307	
2247	Bob Dyer	Misc	Folk	River Runs Outside My Door	3247	2001	102308	
2248	Various Artists	Misc		Slow Jams - Timeless Collection Volume 3	3248		102309	
2249	42 X Bulat Okudzawa	Newage	Oldies	Plyta 3 - Bulat	3249	1999	10231	
2250	Various	Misc	Disco	Boogie Wonderland (disc 2)	3250	1978	102310	
2251	John Michael Talbot	Misc		Cave Of The Heart	3251	1999	102312	
2252	4d-jam	Misc	Pop	City Of Tracks	3252		102313	
2253	K2	Misc	Ballad	Real Spark	3253		102314	
2254	Julie Chapman	Misc	Childrens Lullaby	Lullaby	3254		102315	
2255	Alice Maciel E Banda Pentecostal	Misc	Gospel	Vocãª Nã£o Pode Desistir	3255	2002	102316	
2256	John Coltrane	Misc	Jazz	Coltrane For Lovers	3256	2001	102317	
2257	Percy Faith	Misc	Instrumental	Exotic String Of Percy Faith	3257		102318	
2258	Gary Numan	Misc	Industrial	Scarred - Disc 1	3258	2003	102319	
2259	Dragon Ash	Misc	Japanese Hip-hop	Lilly Of Da Valley	3259	2001	102320	
2260	Rachmaninov	Misc	Symphony	Piano Concerto No.1, Rhapsody On A Theme Of Paganini	3260	1987	102322	
2261	Various	Misc	Misc	This Is Zyx !!! (promo)	3261		102323	
2262	Operaciã³n Triunfo	Misc		Los Singles	3262		102324	
2263	Â¡ã‘â¹âµã Â¡ã‘ã…ã‚ã¬â¨ã’ã„â¡	Misc	Pop	Ã ãšã©â¹â¢ãâºâ¿ã©ã’	3263	2000	102325	
2264	Db Bass Killaz	Misc	Bass	Bass Drag Racing	3264		102326	
2265	Church Of Betty	Misc		In Search Of Spiritual Junkfood	3265		102327	
2266	Nordwind	Misc	Vocal	Zu Neuen Ufern	3266	1999	102328	
2267	Kargo	Misc	Rock	Sevmek Zor	3267		102329	
2268	Zz Top	Misc	Rock	Rhythmeen	3268	1996	102330	
2269	Love Of My Life	Misc		Love Of My Life	3269	1990	102331	
2270	Diego Modena	Misc	Easy Listening	The Best Of	3270		102332	
2271	Various Artists	Misc	Drum & Bass	Dj Hype & True Playaz Presents Real Vibes	3271	1998	102333	
2272	Lorie Line	Misc		Beyond A Dream	3272		102334	
2273	Loona	Misc	Pop	Entre Dos Aquas	3273	1999	102335	
2274	Martinho Da Vila	Misc	Unclassifiable	Conexãµes	3274	2003	102336	
2275	Mpb - Compositores	Misc		Cd_15 - Ivan Lins	3275		102338	
2276	U2	Misc		Achtung Baby	3276		102339	
2277	Amel Larrieux	Misc	Misc	Infinite Possibilities	3277		102340	
2278	Nikos Karagiannis	Misc	Entexno Laika	Mikres Odusseies	3278	2003	102341	
2279	Plasma	Misc	Minimal Techno	Shadow Kingdom	3279	2001	102343	
2280	Manny Manuel	Misc	Merengue	Solo Y Con Los Sabrosos Dem Merengue	3280		102344	
2281	Raulin Rodriguez	Misc	Bachata	Perdido Por Ti	3281	2003	102345	
2282	Stavros Lantsias	Misc	Instrumental	Epistrofi	3282	1999	102346	
