artist	category	genre	title	tracks	year	id
Gauchesco	Folk	Folk	Mano Lima	1083	2002	100090
Marco Pereira	Folk	Folk	Elegia	1084	1990	100091
Paveier	Folk	Folklore	Beinah (gefã¼hlsecht Und Lebensfroh)	1085	1993	100092
Johnny Light	Folk	Folk	Verhaal Zonder Woorden	1086	2002	100093
Keri Noble	Folk	Pop	Fearless	1087	2004	100094
Peder Persson	Folk	Folk	Fã¶dselfest	1088	2001	100095
Epo	Folk	Pop-folk	Poptracks	1089	1987	100096
North Cregg	Folk	Folk	Summer At My Feet	1090	2003	100097
Sofi Marinova	Folk	Pop-folk	Osadena Liubov	1093	2002	100100
Various	Folk	Folk	Ich Hab' Schlager Lieb	1094	1999	100101
Justin Mcroberts	Folk	Folk/rock	Reason For Living	1095	1999	100102
Mary Black	Folk	Folk	Without The Fanfare	1097	1985	100104
Arzu	Folk	National Folk	Ceylanim	1098	1999	100105
Dunaways	Folk	Gospel	Beautiful Day	1099	2003	100106
Indigo Girls	Folk	Folk	Shaming Of The Sun	1100	1997	100107
Indigo Girls	Folk	Folk	Strange Fire	1101	1987	100108
The Choir Company	Folk	Gospel	Laat Uw Grootheid Zien	1102	1997	100109
Ciãºnas	Folk	Irish	Celtic Tiger	1103	2001	100110
Isle Of Light	Folk	Celtic	Winters Welcome	1104	2002	100111
Holly Near	Folk	Folk	Simply Love - Disc One	1105	2000	100112
The String Cheese Incident	Folk	J A M	Untying The Not	1106	2003	100113
Lj Booth	Folk	Folk	The Ox That Pulls The Cart	1108	2002	100115
Lovett, Lyle	Folk	Folk	The Road To Ensenada	1110	1996	100117
Rebecca St.James	Folk	Gospel	Pray	1112	1998	100119
Iris	Folk	Indie	After School Special	1114	2010	100121
Eugene Cole And Persuaded	Folk	Gospel	He Will Work It Out	1116	1999	100123
Various Artists	Folk	Folk	Zlote Przeboje Polskiego Socjalizmu	1117	1999	100124
Roger Fortner	Folk	Gospel	Quiet Time Hymns On The Guitar	1118	1998	100125
Tom Paxton	Folk	Folk	Balloon-alloon-alloon	1119	1997	100126
Franco Bleve & Canto Antico Della Nostra Terra	Folk	Folklore	Canzoni Brindisine	1120	1989	100127
Various Artistse 2	Folk	Holiday - Christmas	Holiday Favorites, Christmas Collection Volume 2	1121	1998	100128
Fnac Choice	Folk	Pop	Salute Flamenco	1122	2003	100129
Leo Kottke	Folk	Folk	6- And 12-string Guitar	1123	1974	100130
Songs 4 Worship	Folk	Christian	Holy Ground! - Disc 2	1127	1998	100134
Joan Baez	Folk	Folk	5	1129	1997	100136
Marianne Kesler	Folk	Folk	All The Days Of My Life	1130	1997	100137
Mustafa Sandal	Folk	Folk	Araba	1131	1999	100138
Mã´ra-per	Folk	Folk-rock	Minnesmã¤rken	1134	1996	100141
Garth Wilwand	Folk	Folk-rock	Eyes Of The Hurricane	1135	2001	100142
Clannad	Folk	Celtic	Anam	1136	1990	100143
Doe Maar	Folk	Folk	4us	1137	2008	100144
Guzman	Folk	Pop	Guzmã¡n Y Cã­a	1138	1998	100145
David Olney	Folk	Singer/songwriter	Top To Bottom	1139	1991	100146
Flipper Dave	Folk	Folk	Flipper Dave	1140	1995	100147
Esma Redzepova	Folk	Worldmusic	Esma Queen Of The Gypsies: Macedonian Songs (disk 1)	1141	1998	100148
Al Bano	Folk	Folk	I Grandi Successi Di Al Bano	1142	2013	100149
Jim Butke	Folk	Celtic	A Feisin Statement	1143	2002	100150
Trio Bravo	Folk	National Folk	Pieces	1144	2008	100151
James Durst	Folk	Folk	Like The Wind	1147	2000	100154
Konstantina	Folk	Folk	I Kaliteres Stigmes Mou	1148	1997	100155
Ivy Markaity	Folk	Folk	World's Not Big Enough	1150	1997	100157
Cucunandy	Folk	Celtic	Contented Minds	1151	2001	100158
Nylons	Folk	Folk	4 On The Floor	1153	1991	100160
Paddy Reilly	Folk	Folk	Paddy Reilly Live	1154	2007	100161
Daily Planet	Folk	Folklore	The Big Scoop	1155	1998	100162
Kazuhiko Kato	Folk	Folk	Bokuno Sobani Oideyo	1156	1969	100163
Dario Domingues	Folk	Folk	Los Vibrantes	1158	1999	100165
Vari	Folk	Latin	El Campeon Latino	1159	1999	100166
Sal Solo Band	Folk	Gospel	Through Ancient Eyes	1161	1999	100168
Hezekiah Walker	Folk	Gospel	The Best Of Hezekiah Walker	1162	1992	100169
Bapi Das Baul	Folk	Folklore	Senses	1164	2002	100171
Sylloges	Folk	Greek Non Stop	Sou3e Club (1990) 192 Kbps	1165	1990	100172
The Tear Garden	Folk	Indie	Bouquet Of Black Orchids++by Mioudso99++	1166	2009	100173
Rewasese Entertainment	Folk	Fijian	Mana Island	1167	1991	100174
Gunstein Draugedalen	Folk	Folk	Om Hundrede Ã¥r Er Alting Glemt	1169	2003	100176
Merle Haggard	Folk	Folk	Merle Haggard Country Legend- Disc. 3	1170	2007	100177
Clannad	Folk	Folk	Atlantic Realm	1171	1989	100178
Albin Berger	Folk	Folk	Wahre Liebe	1173	2022	100180
Erich Kunz	Folk	Folk	Erich Kunz Singt Wiener Lieder	1176	2006	100183
P. Watelet - E. Germinet	Folk	Folklore	Le Top Des Chansons Paillardes	1178	1999	100185
Sam Baardman	Folk	Folk	Kicking The Stone Home	1179	2022	100186
Bilja Krstic & Bistrik Orchestra	Folk	Folk	Zapisi	1181	2002	100188
Billy Bragg And The Blokes	Folk	Folklore	England, And Half-english	1182	2002	100189
Catie Curtis	Folk	Folk	Acoustic Valentine	1183	2002	100190
Adema	Folk	Metal	Adema	1185	2001	100192
Tomaz Pengov	Folk	Folk	Biti Tu	1186	2015	100193
The Christina Abbott Band	Folk	Pop-folk	Climbing Cathedrals	1187	2001	100194
Danko	Folk	Folk	Fjeld / Andersen	1188	2002	100195
Eko	Folk	Folk	Celtica	1189	1996	100196
Gutierrez Brothers	Folk	Gospel	Jesus Fill My Heart	1190	2002	100197
Stacie Orrico	Folk	Gospel	Stacie Orrico	1191	2003	100198
Kohala	Folk	Folk	Cool Breeze	1194	2003	100202
Alison Krauss & Union Station	Folk	Bluegrass	So Long So Wrong	1195	1997	100203
Erin Berghouse	Folk	Folk-rock	Deception	1196	1998	100204
Battlefield Band	Folk	Folk	Farewell To Nove Scotia	1198	1975	100206
Poems For Laila	Folk	Folk	Frã¼hstã¼ck In Budapest	1199	2004	100207
Serge Camille	Folk	Folk	Beau Vallon	1202	1990	100210
Liz Barnes	Folk	Folk-rock	Inkmarks On Pages	1203	1996	100211
Various	Folk	Folk	Grapevine: A Collection	1204	1999	100212
Men Of Worth	Folk	Folk	Harvest Moon	1205	1999	100213
Betty Elders	Folk	Folk	Crayons	1206	1995	100214
Wild Magnolias	Folk	Folk	New Orleans Project	1207	2012	100215
Simon And Garfunkel	Folk	Folk	Wednesday Morning 3 Am	1211	1974	100219
Ho, Don	Folk	Folk	Essentials, The	1212	2002	100220
Die Zillertaler	Folk	Folk	I Muaãÿ Dir No Sag'n Das I Di Gern Hab	1213	1995	100222
Joyas Del Mariachi	Folk	Folk	Clasicas De Serenata	1214	1997	100223
Edith Piaf	Folk	Folk	N. 3	1215	2012	100224
Paquita La Del Barrio	Folk	Ranchera	Azul Celeste	1216	2000	100225
Helen Shapiro	Folk	Folk	Walking Back To Happiness	1218	1996	100227
Dana Robinson	Folk	Folk	Midnight Salvage	1219	1997	100228
Piotr Szczepanik	Folk	Folk	Najwieksze Przeboje	1220	1991	100229
Erin Mckeown	Folk	Folk Diva	Grand	1221	2003	100230
Carlos Di Sarli	Folk	Tango	Cascabelito	1222	2004	100231
Lasse Stefanz	Folk	Dance Hall	Vã¥r Kã¤rlek Ã¤r Stark	1223	2002	100232
Carlos Nunez	Folk	Folk	Brotherhood Of Stars	1224	1997	100233
Harald Immig	Folk	Folk	Nach Hause	1225	2023	100234
The Travelling Jewish Wedding	Folk	Folk	Golden Gate Gypsy Orchestra	1226	1988	100235
Terje Tysland	Folk	Folk-rock	Det Goe Liv	1227	2004	100236
One	Folk	Folk	One	1228	2020	100237
Mick Moloney	Folk	Folk	Mick Moloney With Eugene O'donnel	1229	1978	100238
Melanie	Folk	Folk	Precious Cargo	1230	2005	100239
Various	Folk	Folk	Hollandse Kanjers	1231	1994	100240
Penelope Houston	Folk	Folk-rock	The Whole World	1232	1993	100241
Kamebushi Yuka & The Voices Of Japan	Folk	Gospel	Dedication	1234	2002	100243
Shalom Hanoch	Folk	Israel	Or Israeli	1236	2003	100245
Bluatschink	Folk	Folk	Bluatschink	1237	2007	100246
Ibrahim Tatlises	Folk	Folk	Ah Keskem	1238	1992	100247
Trakia Folk 2003	Folk	Pop-folk	Trakia Folk 2003	1241	2003	100250
Brothers Four	Folk	Folk	The Tokyo Tapes	1242	2020	100251
Los Super Seven	Folk	Latin	Canto	1243	2001	100252
After Forever	Folk	Gothic	Prison Of Desire	1245	2000	100254
Pipedown	Folk	Celtic	The First Measure	1246	2002	100255
Joe Arroyo	Folk	Folk	Grandes Ritmos Del Caribe	1247	1991	100256
Yarkin	Folk	Folk	Ten	1248	1999	100257
Shamrock Duo	Folk	Folk	Aus Allen Himmelsrichtungen	1249	1991	100258
Wow & Flutter	Folk	Indie	Pounding The Pavement	1250	1999	100259
Ghymes	Folk	Folk	Smaragdvã¡ros	1251	2000	100260
Pete Nelson	Folk	Folk	The Restless Boys' Club	1252	1996	100261
Connie Dover	Folk	Folk	The Border Of Heaven	1253	2000	100262
Waterson:carthy	Folk	Folk	Broken Ground	1256	1999	100265
Jill Knight	Folk	Folk	Future Perfect	1257	1999	100266
At-tambur	Folk	Tradicional	At-tambur	1258	2003	100267
Dara Bubamara	Folk	Folk	2001	1261	2001	100270
The Last Dance	Folk	Gothic	Now And Forever	1262	2002	100271
Nocheros	Folk	Folk	Estado Natural	1263	2003	100272
Chris Daring	Folk	Folk	The Whole Nine Yards	1265	1997	100274
Kaj Og Andrea	Folk	National Folk	Pã¦nt Goddag	1266	1996	100275
Nashville Superpickers	Folk	Bluegrass	Pickin' On The 50's	1268	1994	100277
Jorge Negrete	Folk	Folk	Lo Mejor De Jorge Negrete	1271	1998	100280
Scott Whitney	Folk	Acoustic	Guitjazzathon	1272	2003	100281
Lesjaskog Trekkspillklubb	Folk	Gammeldans	Trekkspilltreff I Sã¸ristua	1273	1998	100282
Sally Ann And Shadymile	Folk	Folk	Sally Ann And Shadymile	1274	2020	100283
Aretha Franklin	Folk	Gospel	Abracadabra	1275	1997	100284
Donovan	Folk	Folk	The Very Best Of	1278	1966	100287
Jim Bryson	Folk	Folk-rock	The North Side Benches	1279	2003	100288
Andrã©s Calamaro	Folk	Folklore	El Cantante	1280	2004	100289
Alice	Folk	Pop	Mezzogiorno Sulle Alpi	1281	1992	100290
Alberto Y Emilia	Folk	Folk	Asignaturas Pendientes	1282	1993	100291
Gal Costa	Folk	Folk	O Melhor De Gal Costa	1283	1969	100292
Bzn	Folk	Pop	Crystal Gazer	1284	1989	100293
Emerald Rose	Folk	Folk	Emerald Rose	1285	2002	100294
Lawrence Laughing	Folk	Native American	Now Our Minds Are One	1286	2000	100295
Ekeinos & Ekeinos	Folk	Folk	Mia Ginaika Mono Kserei	1287	2000	100296
Ghymes	Folk	Folk	Az Ifjãºsã¡g Sã³lyommadã¡r	1288	1988	100297
Blackthorn	Folk	Celtic	The Other Side	1289	1998	100298
Lenka Filipova	Folk	Folk	Tisic Zpusobu Jak Zabit Lasku	1290	2003	100299
Judy Collins	Folk	Folk	Both Sides Now (1998)	1291	2022	100300
Lã©a Mendonã§a	Folk	Gospel	Louvor Profã©tico	1292	2004	100301
Hector	Folk	Folk	Hidas	1293	1999	100302
Auscultate	Folk	Chorus	Mystical Chants - The Songs Of The Beatles	1294	2002	100303
Adriano Celentano	Folk	Folk	Le Robe Che Ha Detto Adriano	1295	2013	100304
Enzo Iannacci	Folk	Folk	Enzo Iannacci	1297	2000	100307
Various Artists	Folk	Folk	Platinum Folk Live 2	1298	2000	100308
Various Artists	Folk	Gospel	I Am Not Ashamed Of The Gospel	1299	2001	100309
Lole Y Manuel	Folk	Flamenco	Hojitas De Menta	1300	2000	100310
Various Native Artists	Folk	Folk	Global Celebration: Gatherings	1301	2001	100311
Cheb Mami	Folk	Rai	Dellali	1302	2001	100312
Trovante	Folk	National Folk	Uma Noite Sã³ (disc 2)	1304	2000	100314
5-fold	Folk	Gospel	5-fold	1305	2002	100315
Various	Folk	Folk	Hot Newfoundland Tunes 4 Christmas	1306	2003	100316
Jane Siberry	Folk	Folk	When I Was A Boy	1308	1993	100318
Within Temptation	Folk	Gothic	Mother Earth Tour (dvd Live Cd)	1309	2002	100319
Rough Guide To Bhangra	Folk	Indie	Rough Guide To Bhangra	1310	2002	100320
Ichu	Folk	Misc	Ichu	1311	2007	100321
Simon & Garfunkel	Folk	Folk/rock	Bookends (reissue)	1312	1968	100322
Tree Of Shadows	Folk	Folk-rock	Pause	1313	2000	100323
Johann Murg	Folk	Folk	Zauber Auf Der Steirischen Harmonika	1314	1989	100324
Grupo Atrapado	Folk	Latin	En La Frontera	1315	1999	100325
Charlie Hart, Ben Waters, Chris Jagger	Folk	Folk-rock	Atcha Acoustic (from Lhasa To Lewisham)	1318	1997	100328
Maria Dimitriadi	Folk	Folk	To Magiko Kleidi	1319	1987	100329
Various Artists	Folk	Folklore	Las Mejores Rumbas, 1	1321	1991	100331
Carlos Vives	Folk	Vallenato	La Tierra Del Olvido	1322	2000	100332
Andrew Lorand	Folk	Folk	Location Location Location	1324	2012	100335
La Tordue	Folk	Folk	Champ Libre	1326	2002	100337
Mark Tindle	Folk	Instrumental	Airs Of Ireland	1328	1991	100339
Wylde Nept	Folk	Folk/rock	Live In 3-d	1331	1998	100342
Out Of Eden	Folk	Gospel	This Is Your Life	1332	2002	100343
Juliette Greco	Folk	Vocal	Aimez-vous Les Uns Les Autres Ou Bien Disparaissez	1333	2003	100344
Cursive	Folk	Indie	Splits-eps	1334	2002	100345
Mush	Folk	Folk	Return Of The Giant School Girl - Crush	1335	2023	100346
Obituary	Folk	Metal	Godly Beings	1337	1989	100348
Laboratorio Musicale Del Graal	Folk	Celtic	Sacred Land	1338	2002	100349
Benny Neyman	Folk	Folk	De Grootste Sucessen	1339	1984	100350
Chiclete Com Banana	Folk	Axã©	Ã‰ Festa!	1341	1998	100352
Chris & Johnny	Folk	Folk	Miles And Means	1342	1994	100353
Bob Dylan	Folk	Folk	Love And Theft	1343	2001	100354
Hassan Hakmoun	Folk	Folk	Life Around The World	1344	1991	100355
Bri	Folk	Folk	Unpolished	1345	2001	100356
Leonard Cohen	Folk	Folk	More Best Of	1346	1988	100357
Hans Mayer	Folk	Folk	See You Later Alligator	1349	1997	100360
Thomas & Thomas	Folk	Folk	Weihnachten	1350	2003	100361
The New Christy Minstrels	Folk	Folk	36 All-time Folk Favorites Vol 2	1351	2000	100362
Pedro Messone	Folk	Folk/rock	Mejores Exitos	1352	2014	100363
Tata Mirando En Zijn Zigeunerorkest	Folk	Gypsy	Tata Mirando En Zijn Zigeunerorkest	1354	1994	100365
Sevillanas Histã³ricas	Folk	Folklore	Sevillanas Histã³ricas - Volumen I	1357	2002	100368
Vocal Carpe Diem	Folk	Gospel	Cantar Ã© Preciso	1358	2002	100369
Scarlet's Well	Folk	Folk	Strange Letters	1359	2006	100370
Pierre Perret	Folk	Folk	Ã§ui-lã	1360	2002	100371
Des Geyers Schwarzer Haufen	Folk	Folk/rock	All Voll	1361	1988	100372
Lasse Dahlberg & Hans Kennemark	Folk	Folklore	Hã´l I Vã¤gga	1362	1995	100373
Renaud	Folk	Chanson	Mistral Gagnant	1363	1985	100374
Halvdan Sivertsen	Folk	Folk	Amerika	1365	2005	100376
Matapat	Folk	Folk	Petit Fou	1366	2001	100377
Woody Guthrie	Folk	Folk	A Legendary Performer	1367	2000	100378
Junco	Folk	Folk	Junco	1368	2001	100379
Adriana Landeros	Folk	Folk	Si Te Vas	1369	2003	100380
Varios	Folk	Folk	Iii Certamen Tunas Almeria	1370	1995	100381
Rachel Bissex	Folk	Folk	Don't Look Down	1371	1995	100384
David Michael & Randy Mead	Folk	Folk	Keystone Passage	1373	1993	100386
Septeto Santiaguero	Folk	Salsa	La Pulidora	1374	1999	100387
Declan Masterson	Folk	Celtic	End Of The Harvest	1375	1991	100388
Steve Mcdonald	Folk	Celtic	Legend	1378	2019	100391
Okay Temiz & The Zurna Project	Folk	Folk	Karsilama	1381	1999	100394
Sugartown	Folk	Folk	Sugartown	1382	2002	100395
Corries	Folk	Celtic	Live At The Royal Lyceum Theatre	1383	1998	100396
Marilyn Manson	Folk	Gothic Rock	Mechanical Animals	1384	1999	100397
Mike Craver	Folk	Folk	Wagoner's Lad	1385	1999	100398
Nancy Bryan	Folk	Folk-rock	Neon Angel	1386	2000	100399
Paul Brady	Folk	Folk	The Paul Brady Songbook	1387	2002	100400
Nationale Blue	Folk	Indie	A Different Kind Of Listening	1393	2002	100406
Kilima Hawaiians	Folk	Folk	Rhythm Of The Islands	1394	1988	100407
Youssou N'dour	Folk	Pop-folk	Birth Of A Star	1396	2001	100409
Rosa Balistreri	Folk	Folk-rock	I Luoghi E La Memoria	1398	2007	100411
Della Bosiers	Folk	Vocal	Della Bosiers 1972-1974	1399	1998	100412
Pete Seeger	Folk	Folk	All-time Favorites	1400	2009	100413
Sebastian Siegel	Folk	Folk	Ich Mã¶chtâ´ So Gern Dein Teddybã¤r Sein	1401	1997	100414
Vã­ctor Herdia	Folk	Folklore	Vã­ctor Herdia	1402	1991	100415
Buffy Sainte-marie	Folk	Folk	It's My Way!	1405	1964	100418
Various Artists	Folk	Swing	Swing City	1406	2000	100419
Steve & Annie Chapman	Folk	Gospel	For Times Like These	1407	1991	100420
Massamba	Folk	Folk	African Soukouss	1408	2000	100421
La Marmotte	Folk	Folk	Chez Madeleine	1410	2000	100423
Rolando Boldrin	Folk	Pop	Grandes Sucessos	1412	2020	100425
Opus Cuatro	Folk	Folklore	Militantes De La Vida	1413	1984	100426
Belchior	Folk	Mpb	Auto Retrato-cd2 - Pequeno Mapa Do Tempo	1414	2019	100427
Kaysha	Folk	Freestyle	I'm Ready	1415	1998	100428
Tony Conjugacion	Folk	Folk	The Collection	1416	2007	100429
Various Artists	Folk	Christian Rock	You Will Remain	1417	2003	100430
Frans Bauer	Folk	Folk	De Frans Bauer Karaoke Top 30 Cd 1	1418	1997	100431
Various	Folk	Celtic	Celtic Heritage	1419	2000	100432
Georg Kreisler	Folk	Cabaret	Lieder Zum Fã¼rchten	1420	1990	100433
Waterdeep Worship	Folk	Christian Rock	You Are So Good To Me	1422	2001	100435
Buzzworld	Folk	Folk	Saol Buzz	1424	1996	100437
David Gray	Folk	Folk/rock	Sell, Sell, Sell	1425	1996	100438
Fatih Kisaparmak	Folk	Folk	Vay Benim Hayallerim	1426	2001	100439
50 Greatest Gospel Hits	Folk	Gospel	50 Greatest Gospel Hits Cd2	1427	2003	100440
Kanda Bongo Man	Folk	Folk	The Very Best	1428	2018	100441
Exit	Folk	Gospel	Pellavaa Ja Purppuraa	1429	1997	100442
Pepe Aguilar	Folk	Folk	Y Tenerte Otra Vez	1430	2003	100443
Roberto Blades	Folk	Salsa	Encore	1431	2001	100444
Davide Van De Sfroos	Folk	Folklore	Brã¨va E Tivã n	1432	1999	100445
Various Artistsings Of Traditional Irish Dance Music	Folk	Celtic	Happy To Meet, Sorry To Part - Classic Recordings Of Traditional Irish Dance Music	1434	1996	100448
Al-kindã®	Folk	Folk	Le Salon De Musique D'alep	1437	1998	100451
Limeliters, The	Folk	Folk	Limeliters, The	1439	1959	100453
Vicente Fernandez	Folk	Folk	Por Tu Maldito Amor	1440	1989	100454
Peter Grã¸nlund	Folk	Dk-dansk	Bolvã¦rksmatroser	1442	2000	100456
Palemiger Spatzen	Folk	Folk	Harmonika Party	1443	1995	100457
Khamisu Khan	Folk	Folk	Art Of Alghoza From Sind	1444	1998	100458
Commonbond	Folk	Folk	Super Elastic Acoustic Plastic	1445	1994	100459
Kevn Kinney	Folk	Folk	Down Out Law	1446	2012	100460
Pogues	Folk	Folk	Hell's Ditch	1448	1990	100462
Dan Bonis	Folk	Acoustic	Delivering The Cake	1449	2004	100463
Jerry Garcia	Folk	Bluegrass	Jerry's Home (disc Ii)	1450	1995	100464
Vamp	Folk	Folk	God Morgen, Sã¸ster	1451	1993	100465
Various	Folk	Irish Folk	Classic Irish Airs (instrumental)	1452	1997	100466
Subway To Sally	Folk	National Folk	Mcmxcv	1453	1995	100467
Bert Jansch	Folk	Folk	The Ornament Tree	1455	1990	100469
Juan Perro	Folk	Folk	Raices Al Viento	1456	1995	100470
Two Left Feet	Folk	Folk	Music For Irish Dancing - Vol 1 - Solos	1458	2000	100472
Ali	Folk	Zouk	At Home...	1459	1999	100473
The Urban Gypsies	Folk	Folk	Then There Was Faith	1460	1999	100474
10,000 Maniacs	Folk	Folk	Our Time In Eden	1461	1992	100475
Mary Black	Folk	Folk	Babes In The Wood	1462	1991	100476
Kevin Burke	Folk	Folk	In Concert	1465	1999	100479
City Of Invercargill Caledonian Pipe Band	Folk	Folk-rock	Pipin' Hot Ii	1467	2003	100481
Rock'n'roll Diktator	Folk	Folk	Sorge-ecke-mã¼hsam	1469	2003	100483
Flap	Folk	Irish Folk	Away From Home	1470	1995	100484
Shawn Mullins	Folk	Folk	Soul's Core	1472	1998	100486
Rachel Owens	Folk	Folk	Through These Eyes	1473	1999	100487
Runrig	Folk	Folk	In Search Of Angels	1474	2016	100488
Miranda Stone	Folk	Folk-rock	7 Deadly Sins	1475	2002	100489
Samy Y Sandra Sandoval	Folk	Folk	Samy Y Sandra Sandoval Vol.1	1476	2020	100490
Damon & Naomi	Folk	Folk	Song To The Siren (live In San Sebastian)	1477	2002	100491
Herman Van Veen	Folk	Folk	Was Ich Dir Singen Wollte (live Cd2)	1478	2002	100492
Vã¡rios	Folk	Gospel	Vem Esta Ã© A Hora	1482	2002	100496
Burnside Accordian Band	Folk	Folk	Marching To Victory	1483	2000	100497
Marã­a Dolores Pradera	Folk	Folk	Ã‰xitos De Marã­a Dolores Pradera	1484	1992	100498
Tomeu Penya	Folk	Folk	Aixã² Ã©s Pecat	1485	2001	100499
Varios	Folk	Folk	Mumm - Musica De Peliculas	1488	2020	100502
El Consorcio	Folk	Folk	Programa Doble	1489	1996	100503
Mary Bergin	Folk	Folk	Feadoga Stain	1490	1979	100504
Mike West And Meeshkin	Folk	Folk/bluegrass	Redneck Riviera	1492	98	100506
The Swinging Blue Jeanse Jeans	Folk	Rock & Roll	The Greatest Hits Of The Swinging Blue Jeans	1494	1989	100508
Honolulu Shunshine Band	Folk	Folk	Hawaiian Dreams Cd2	1495	1988	100509
Various Artists	Folk	Nederlands	Schuine Cafã© Hits	1496	2003	100510
Lucinho E Luciano	Folk	Gospel	Volume 4	1497	2001	100511
Celtic Connection	Folk	Folk	Higher	1498	2002	100513
El Flamenco A Travã©s	Folk	Folklore	El Flamenco A Travã©s Vol.V	1500	2002	100515
Fagner	Folk	Folk	Bateu Saudade	1504	1996	100519
Darrell Mansfield	Folk	Gospel	Last Chance Boogie	1507	1998	100522
Gauchos 4	Folk	Folk	Gauchos 4	1508	1973	100523
Lauriete	Folk	Gospel	O Segredo Ã© Louvar	1511	2002	100526
Judy Collins	Folk	Folk	Live At Newport 1959-1966	1512	1994	100527
Frans Bauer	Folk	Folk	/ Frans Bauer	1513	1994	100528
Gary Stroutsos	Folk	Native American	The Native Heart	1514	1997	100529
Majestic Moods	Folk	Celtic	Celtic Dawn	1517	1997	100532
Fredl Fesl	Folk	Comedy	Anlass-jodler (best Of)	1518	2003	100533
Various Artists	Folk	Folk	Shekinah 13 Artists	1519	2002	100534
Dave Gunning	Folk	Celtic	Caught Between Shadows	1520	2002	100535
Fiddler's Green	Folk	Folk	Another Stagebox - Disc 1	1521	2000	100536
Panseluta Feraru	Folk	Folk	Chants Lautar De Bucarest / Lautar Songs From Bucharest	1522	2000	100537
Enzo Avitabile	Folk	Folk	Addã²	1524	1996	100539
