artist	category	genre	title	tracks	year	id	merged_values
Esma Redzepova	Folk	Worldmusic	Esma Queen Of The Gypsies: Macedonian Songs (disk 1)	1141	1998	100148	
Al Bano	Folk	Folk	I Grandi Successi Di Al Bano	1142	2013	100149	
Jim Butke	Folk	Celtic	A Feisin Statement	1143	2002	100150	
Trio Bravo	Folk	National Folk	Pieces	1144	2008	100151	
Lã©a Mendonã§a	Folk	Gospel	Uma Nova Unã§ã£o	1145		100152	
Various Artists	Folk	Folk	Ã¤â¸â­ã¥â³â¶ã£?â¿ã£â€šâ€ ã£?? Song Library 1	1146	1997	100153	
James Durst	Folk	Folk	Like The Wind	1147	2000	100154	
Konstantina	Folk	Folk	I Kaliteres Stigmes Mou	1148	1997	100155	
Pete Seeger & Leon Gieco	Folk	Folk	Concierto En Vivo 1	1149		100156	
Ivy Markaity	Folk	Folk	World's Not Big Enough	1150	1997	100157	
Cucunandy	Folk	Celtic	Contented Minds	1151	2001	100158	
The Cã©ilã­ Bandits	Folk	Folk	Hangin' At The Crossroads	1152		100159	
Nylons	Folk	Folk	4 On The Floor	1153	1991	100160	
Paddy Reilly	Folk	Folk	Paddy Reilly Live	1154	2007	100161	
Daily Planet	Folk	Folklore	The Big Scoop	1155	1998	100162	
Kazuhiko Kato	Folk	Folk	Bokuno Sobani Oideyo	1156	1969	100163	
Various	Folk	Folk	Hollyday Musik 2	1157		100164	
Dario Domingues	Folk	Folk	Los Vibrantes	1158	1999	100165	
Vari	Folk	Latin	El Campeon Latino	1159	1999	100166	
Vanja Lazarova Dimitrova	Folk	Folk	Love	1160		100167	
Sal Solo Band	Folk	Gospel	Through Ancient Eyes	1161	1999	100168	
Hezekiah Walker	Folk	Gospel	The Best Of Hezekiah Walker	1162	1992	100169	
Alexander Scourby	Folk	Gospel	King James Bible	1163		100170	
Bapi Das Baul	Folk	Folklore	Senses	1164	2002	100171	
Sylloges	Folk	Greek Non Stop	Sou3e Club (1990) 192 Kbps	1165	1990	100172	
The Tear Garden	Folk	Indie	Bouquet Of Black Orchids++by Mioudso99++	1166	2009	100173	
Rewasese Entertainment	Folk	Fijian	Mana Island	1167	1991	100174	
Harmonikarice Zupan	Folk	Folk	Glasba Zdruzila Nas Je	1168		100175	
Gunstein Draugedalen	Folk	Folk	Om Hundrede Ã¥r Er Alting Glemt	1169	2003	100176	
Merle Haggard	Folk	Folk	Merle Haggard Country Legend- Disc. 3	1170	2007	100177	
Clannad	Folk	Folk	Atlantic Realm	1171	1989	100178	
Stas Bulanda's Average Polka Band	Folk	Folk	Stormin' Polkas	1172		100179	
Albin Berger	Folk	Folk	Wahre Liebe	1173	2022	100180	
Various Artists	Folk	Folk	Tzlil Mechuvan	1174		100181	
Some Like It Hot	Folk	Folk	Some Like It Hot	1175		100182	
Erich Kunz	Folk	Folk	Erich Kunz Singt Wiener Lieder	1176	2006	100183	
Â°ãâ·ã§â±j	Folk	Folk	Â¤sâ¨â£â¤ã«â©ãº	1177	1981	100184	
P. Watelet - E. Germinet	Folk	Folklore	Le Top Des Chansons Paillardes	1178	1999	100185	
Sam Baardman	Folk	Folk	Kicking The Stone Home	1179	2022	100186	
Ã€ã«ã¥ãªã±ã ã­ã¤ã° Ãã®ã¢ã¨ãªã®ã¢	Folk	Chanson	Ã‘ Ãªã°ã ã±ã ã¢ã¨ã¶ã¥ã© Ã¢ Ã®ã¡ã­ã¨ã¬ãªã³	1180	1996	100187	
Bilja Krstic & Bistrik Orchestra	Folk	Folk	Zapisi	1181	2002	100188	
Billy Bragg And The Blokes	Folk	Folklore	England, And Half-english	1182	2002	100189	
Catie Curtis	Folk	Folk	Acoustic Valentine	1183	2002	100190	
Gem Boy	Folk	Folk	Il Triangolo Nei Bermuda	1184		100191	
Adema	Folk	Metal	Adema	1185	2001	100192	
Tomaz Pengov	Folk	Folk	Biti Tu	1186	2015	100193	
The Christina Abbott Band	Folk	Pop-folk	Climbing Cathedrals	1187	2001	100194	
Danko	Folk	Folk	Fjeld / Andersen	1188	2002	100195	
Eko	Folk	Folk	Celtica	1189	1996	100196	
Gutierrez Brothers	Folk	Gospel	Jesus Fill My Heart	1190	2002	100197	
Stacie Orrico	Folk	Gospel	Stacie Orrico	1191	2003	100198	
Arjan & Efi	Folk	Folk	Over De Grenzen	1192		100200	
Various Artists	Folk	National Folk	14 Hollandse Nieuwe Gouwe Cd12	1193		100201	
Kohala	Folk	Folk	Cool Breeze	1194	2003	100202	
Alison Krauss & Union Station	Folk	Bluegrass	So Long So Wrong	1195	1997	100203	
Erin Berghouse	Folk	Folk-rock	Deception	1196	1998	100204	
Evabritt Strandberg	Folk	Folk	Evabritt Strandberg Sjunger Brel	1197		100205	
Battlefield Band	Folk	Folk	Farewell To Nove Scotia	1198	1975	100206	
Poems For Laila	Folk	Folk	Frã¼hstã¼ck In Budapest	1199	2004	100207	
Andesmanta	Folk	Folk	Causai Pacha	1200		100208	
Raza India	Folk	Folklore	Raza India	1201		100209	
Serge Camille	Folk	Folk	Beau Vallon	1202	1990	100210	
Liz Barnes	Folk	Folk-rock	Inkmarks On Pages	1203	1996	100211	
Various	Folk	Folk	Grapevine: A Collection	1204	1999	100212	
Men Of Worth	Folk	Folk	Harvest Moon	1205	1999	100213	
Betty Elders	Folk	Folk	Crayons	1206	1995	100214	
Wild Magnolias	Folk	Folk	New Orleans Project	1207	2012	100215	
Â¿â¹â¼ã¶ã€ã¼âµâµâ´ãœ	Folk	Gospel	Ã‡ã¢â±ã¢	1208	1999	100216	
Amakye Dede	Folk	Folk	Me Fre Wo	1209		100217	
Various Artists	Folk	Dance	Euro Darkness 1 Ã£â‚¬å“the Early Days Of Sebã£â‚¬å“	1210		100218	
Simon And Garfunkel	Folk	Folk	Wednesday Morning 3 Am	1211	1974	100219	
Ho, Don	Folk	Folk	Essentials, The	1212	2002	100220	
Die Zillertaler	Folk	Folk	I Muaãÿ Dir No Sag'n Das I Di Gern Hab	1213	1995	100222	
Joyas Del Mariachi	Folk	Folk	Clasicas De Serenata	1214	1997	100223	
Edith Piaf	Folk	Folk	N. 3	1215	2012	100224	
Paquita La Del Barrio	Folk	Ranchera	Azul Celeste	1216	2000	100225	
Munter Macher	Folk	National Folk	Wenn Es Noch Engel Gibt Auf Erden	1217		100226	
Helen Shapiro	Folk	Folk	Walking Back To Happiness	1218	1996	100227	
Dana Robinson	Folk	Folk	Midnight Salvage	1219	1997	100228	
Piotr Szczepanik	Folk	Folk	Najwieksze Przeboje	1220	1991	100229	
Erin Mckeown	Folk	Folk Diva	Grand	1221	2003	100230	
Carlos Di Sarli	Folk	Tango	Cascabelito	1222	2004	100231	
Lasse Stefanz	Folk	Dance Hall	Vã¥r Kã¤rlek Ã¤r Stark	1223	2002	100232	
Carlos Nunez	Folk	Folk	Brotherhood Of Stars	1224	1997	100233	
Harald Immig	Folk	Folk	Nach Hause	1225	2023	100234	
The Travelling Jewish Wedding	Folk	Folk	Golden Gate Gypsy Orchestra	1226	1988	100235	
Terje Tysland	Folk	Folk-rock	Det Goe Liv	1227	2004	100236	
One	Folk	Folk	One	1228	2020	100237	
Mick Moloney	Folk	Folk	Mick Moloney With Eugene O'donnel	1229	1978	100238	
Melanie	Folk	Folk	Precious Cargo	1230	2005	100239	
Various	Folk	Folk	Hollandse Kanjers	1231	1994	100240	
Penelope Houston	Folk	Folk-rock	The Whole World	1232	1993	100241	
Titti Bianchi & Ruggero Scandiuzzi	Folk	Folk	Serenata	1233		100242	
Kamebushi Yuka & The Voices Of Japan	Folk	Gospel	Dedication	1234	2002	100243	
Jari Sillanpã¤ã¤	Folk	Finnish	Jari Sillanpã¤ã¤	1235		100244	
Shalom Hanoch	Folk	Israel	Or Israeli	1236	2003	100245	
Bluatschink	Folk	Folk	Bluatschink	1237	2007	100246	
Ibrahim Tatlises	Folk	Folk	Ah Keskem	1238	1992	100247	
Wilbury Clan	Folk	Folk	Live	1239		100248	
Chris Newman And Mã¡ire Nã­ Chathasaigh	Folk	Folk	Dialogues	1240		100249	
Trakia Folk 2003	Folk	Pop-folk	Trakia Folk 2003	1241	2003	100250	
Brothers Four	Folk	Folk	The Tokyo Tapes	1242	2020	100251	
Los Super Seven	Folk	Latin	Canto	1243	2001	100252	
Various Artists	Folk	Folk	^made In Greece	1244		100253	
After Forever	Folk	Gothic	Prison Of Desire	1245	2000	100254	
Pipedown	Folk	Celtic	The First Measure	1246	2002	100255	
Joe Arroyo	Folk	Folk	Grandes Ritmos Del Caribe	1247	1991	100256	
Yarkin	Folk	Folk	Ten	1248	1999	100257	
Shamrock Duo	Folk	Folk	Aus Allen Himmelsrichtungen	1249	1991	100258	
Wow & Flutter	Folk	Indie	Pounding The Pavement	1250	1999	100259	
Ghymes	Folk	Folk	Smaragdvã¡ros	1251	2000	100260	
Pete Nelson	Folk	Folk	The Restless Boys' Club	1252	1996	100261	
Connie Dover	Folk	Folk	The Border Of Heaven	1253	2000	100262	
Autori Vari	Folk	Folk	Pizzica & Rinascita	1254		100263	
Alan Stivell	Folk	Folk	1 Douar	1255		100264	
Waterson:carthy	Folk	Folk	Broken Ground	1256	1999	100265	
Jill Knight	Folk	Folk	Future Perfect	1257	1999	100266	
At-tambur	Folk	Tradicional	At-tambur	1258	2003	100267	
Doble R S.S.S.	Folk	Folk	Lanta!! Lanta!! Bini Bei!	1259		100268	
R. B. Nicol, R. U. Brown	Folk	Folk	Masters Of Piobaireachd, Volume One	1260		100269	
Dara Bubamara	Folk	Folk	2001	1261	2001	100270	
The Last Dance	Folk	Gothic	Now And Forever	1262	2002	100271	
Nocheros	Folk	Folk	Estado Natural	1263	2003	100272	
Blandade Artister	Folk	Folk	100% Barn	1264		100273	
Chris Daring	Folk	Folk	The Whole Nine Yards	1265	1997	100274	
Kaj Og Andrea	Folk	National Folk	Pã¦nt Goddag	1266	1996	100275	
Don Stanley & Middle Creek	Folk	Bluegrass	Just Because Of Him	1267		100276	
Nashville Superpickers	Folk	Bluegrass	Pickin' On The 50's	1268	1994	100277	
Ãžã•ã„ããšã‡ã“_ã‘ãã“ãã•ã‹ã‡ã“_ã„ã‡ãˆã…ã	Folk	Folk	Ã”ã¡ Ã¤ãžã¨ã¥ã­	1269		100278	
Various Artists	Folk	Bossa Nova	Um Barquinho E Um Violã£o - Vol.1 Disco 2	1270		100279	
Jorge Negrete	Folk	Folk	Lo Mejor De Jorge Negrete	1271	1998	100280	
Scott Whitney	Folk	Acoustic	Guitjazzathon	1272	2003	100281	
Lesjaskog Trekkspillklubb	Folk	Gammeldans	Trekkspilltreff I Sã¸ristua	1273	1998	100282	
Sally Ann And Shadymile	Folk	Folk	Sally Ann And Shadymile	1274	2020	100283	
Aretha Franklin	Folk	Gospel	Abracadabra	1275	1997	100284	
Billy Edd Wheeler & Paul Craft	Folk	Folk	Songs And Legends Of The Outer Banks	1276		100285	
Billy Diamond	Folk	Folk	Come And I Will Sing You	1277		100286	
Donovan	Folk	Folk	The Very Best Of	1278	1966	100287	
Jim Bryson	Folk	Folk-rock	The North Side Benches	1279	2003	100288	
Andrã©s Calamaro	Folk	Folklore	El Cantante	1280	2004	100289	
Alice	Folk	Pop	Mezzogiorno Sulle Alpi	1281	1992	100290	
Alberto Y Emilia	Folk	Folk	Asignaturas Pendientes	1282	1993	100291	
Gal Costa	Folk	Folk	O Melhor De Gal Costa	1283	1969	100292	
Bzn	Folk	Pop	Crystal Gazer	1284	1989	100293	
Emerald Rose	Folk	Folk	Emerald Rose	1285	2002	100294	
Lawrence Laughing	Folk	Native American	Now Our Minds Are One	1286	2000	100295	
Ekeinos & Ekeinos	Folk	Folk	Mia Ginaika Mono Kserei	1287	2000	100296	
Ghymes	Folk	Folk	Az Ifjãºsã¡g Sã³lyommadã¡r	1288	1988	100297	
Blackthorn	Folk	Celtic	The Other Side	1289	1998	100298	
Lenka Filipova	Folk	Folk	Tisic Zpusobu Jak Zabit Lasku	1290	2003	100299	
Judy Collins	Folk	Folk	Both Sides Now (1998)	1291	2022	100300	
Lã©a Mendonã§a	Folk	Gospel	Louvor Profã©tico	1292	2004	100301	
Hector	Folk	Folk	Hidas	1293	1999	100302	
Auscultate	Folk	Chorus	Mystical Chants - The Songs Of The Beatles	1294	2002	100303	
Adriano Celentano	Folk	Folk	Le Robe Che Ha Detto Adriano	1295	2013	100304	
Jim Hiscott	Folk	Folk	Spirit Reel	1296		100306	
Enzo Iannacci	Folk	Folk	Enzo Iannacci	1297	2000	100307	
Various Artists	Folk	Folk	Platinum Folk Live 2	1298	2000	100308	
Various Artists	Folk	Gospel	I Am Not Ashamed Of The Gospel	1299	2001	100309	
Lole Y Manuel	Folk	Flamenco	Hojitas De Menta	1300	2000	100310	
Various Native Artists	Folk	Folk	Global Celebration: Gatherings	1301	2001	100311	
Cheb Mami	Folk	Rai	Dellali	1302	2001	100312	
Yang Yi He-erhu	Folk	Folk	The Flowing River Water	1303		100313	
Trovante	Folk	National Folk	Uma Noite Sã³ (disc 2)	1304	2000	100314	
5-fold	Folk	Gospel	5-fold	1305	2002	100315	
Various	Folk	Folk	Hot Newfoundland Tunes 4 Christmas	1306	2003	100316	
Inti (jorge Alfaro)	Folk	Folk	Because Of You	1307		100317	
Jane Siberry	Folk	Folk	When I Was A Boy	1308	1993	100318	
Within Temptation	Folk	Gothic	Mother Earth Tour (dvd Live Cd)	1309	2002	100319	
Rough Guide To Bhangra	Folk	Indie	Rough Guide To Bhangra	1310	2002	100320	
Ichu	Folk	Misc	Ichu	1311	2007	100321	
Simon & Garfunkel	Folk	Folk/rock	Bookends (reissue)	1312	1968	100322	
Tree Of Shadows	Folk	Folk-rock	Pause	1313	2000	100323	
Johann Murg	Folk	Folk	Zauber Auf Der Steirischen Harmonika	1314	1989	100324	
Grupo Atrapado	Folk	Latin	En La Frontera	1315	1999	100325	
Maã±a's	Folk	Folk	Mariachi Andino	1316		100326	
Roger Chevrier	Folk	Folk	C'est Noã«l! C'est Noã«l! C'est Noã«l!	1317		100327	
Charlie Hart, Ben Waters, Chris Jagger	Folk	Folk-rock	Atcha Acoustic (from Lhasa To Lewisham)	1318	1997	100328	
Maria Dimitriadi	Folk	Folk	To Magiko Kleidi	1319	1987	100329	
Machitãºn	Folk	Folk	Pasiã³n Latina	1320		100330	
Various Artists	Folk	Folklore	Las Mejores Rumbas, 1	1321	1991	100331	
Carlos Vives	Folk	Vallenato	La Tierra Del Olvido	1322	2000	100332	
Minstrels Of Mayhem	Folk	Folk	Now	1323		100333	
Andrew Lorand	Folk	Folk	Location Location Location	1324	2012	100335	
Reverend Gary Davis	Folk	Gospel	A Little More Faith	1325		100336	
La Tordue	Folk	Folk	Champ Libre	1326	2002	100337	
Â½â²âµ^	Folk	Jazz	Â½â²âµ^âªã·â¤ã¹â¤lâ¡]â³ã¼â¡^â¤ã‘â²pâºqâ¤k	1327	2001	100338	
Mark Tindle	Folk	Instrumental	Airs Of Ireland	1328	1991	100339	
Ivan I Vrã¥a	Folk	Dragspel	Sommarkvã¤ll Vid Grã¶cken	1329		100340	
Elaine De Jesus	Folk	Gospel	Muito Especial-play-back	1330		100341	
Wylde Nept	Folk	Folk/rock	Live In 3-d	1331	1998	100342	
Out Of Eden	Folk	Gospel	This Is Your Life	1332	2002	100343	
Juliette Greco	Folk	Vocal	Aimez-vous Les Uns Les Autres Ou Bien Disparaissez	1333	2003	100344	
Cursive	Folk	Indie	Splits-eps	1334	2002	100345	
Mush	Folk	Folk	Return Of The Giant School Girl - Crush	1335	2023	100346	
Chris & Meredith Thompson	Folk	Folk	Ithaca	1336		100347	
Obituary	Folk	Metal	Godly Beings	1337	1989	100348	
Laboratorio Musicale Del Graal	Folk	Celtic	Sacred Land	1338	2002	100349	
Benny Neyman	Folk	Folk	De Grootste Sucessen	1339	1984	100350	
Mynta	Folk	Folk	Nandu's Dance	1340		100351	
